trial,lr,weight_decay,mask_prob,mean_span,start_bs,grad_accum,dataloader_workers,compile_flag,curriculum,seqs,schedule,total_tokens,seed,ft512_acc,long_avg_acc,composite_score
1,4.846436973116859e-05,0.021177473179273067,0.23897540590981706,2.930299581564451,256,32,8,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.7142857142857143,0.15086206896551724,0.48891625615763545
10,2.2990983766782736e-05,0.09897250314510593,0.19834848961863255,5.433813095973218,256,16,24,0,512-2048,"512,2048","0.7,0.3",100000000,42,0.6666666666666666,0.13793103448275862,0.4551724137931034
11,4.377541045947294e-05,0.09177187310039306,0.21271745320750216,2.0047497196191513,256,32,8,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.6190476190476191,0.17672413793103448,0.4421182266009852
12,4.5152909245397605e-05,0.04545098916161056,0.17396709420307332,4.47895896490227,256,32,8,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.6190476190476191,0.2413793103448276,0.4679802955665025
13,4.280751817508179e-05,0.08072748247082724,0.24707939085152392,4.24138960040024,256,32,8,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.6666666666666666,0.1810344827586207,0.4724137931034482
15,5.298821870550723e-05,0.036024691377679385,0.19799209985610652,5.255329106756877,128,64,8,0,512-2048,"512,2048","0.7,0.3",100000000,42,0.6666666666666666,0.07327586206896552,0.4293103448275862
17,2.5733328983591968e-05,0.08175228891597047,0.22322570691818794,5.847245238661479,256,32,12,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.5238095238095238,0.1896551724137931,0.3901477832512315
18,5.189774935913703e-05,0.0497667499490006,0.18693182844641318,2.6403996974801114,128,64,24,0,512-2048,"512,2048","0.7,0.3",100000000,42,0.6666666666666666,0.06034482758620689,0.4241379310344827
20,3.6979390800440795e-05,0.0795338846501743,0.24869233974013427,3.1742185905251703,256,32,8,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.6666666666666666,0.21551724137931036,0.4862068965517241
28,6.063638775417806e-05,0.09880160743752006,0.1817015901444775,2.8892402316002848,64,64,24,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.6666666666666666,0.1939655172413793,0.4775862068965517
3,6.0418462563251655e-05,0.012928989833381227,0.24485767404292494,3.711846697977855,64,32,12,0,1024-2048,"1024,2048","0.5,0.5",100000000,42,0.6666666666666666,0.1724137931034483,0.4689655172413793
9,9.230765565612256e-05,0.06581417083215646,0.23597763198163338,2.772476596819807,256,16,24,0,512-2048,"512,2048","0.7,0.3",100000000,42,0.7142857142857143,0.13793103448275862,0.483743842364532
