checkpoint,seq_len,global_step,lambada_top1,coref_f1,coref_top5,score
checkpoint-1014,1536,1014,0.0267,0.0992,0.2625,0.1264
checkpoint-1092,1536,1092,0.0300,0.1142,0.3025,0.1454
checkpoint-1170,1536,1170,0.0233,0.0958,0.2996,0.1352
checkpoint-1248,1536,1248,0.0383,0.0979,0.3083,0.1432
checkpoint-1326,1536,1326,0.0417,0.1062,0.3162,0.1499
checkpoint-1404,1536,1404,0.0350,0.1046,0.2942,0.1406
checkpoint-1482,1536,1482,0.0250,0.0854,0.2833,0.1267
checkpoint-156,1536,156,0.0367,0.1013,0.3146,0.1459
checkpoint-1560,1536,1560,0.0400,0.0908,0.2896,0.1352
checkpoint-1638,1536,1638,0.0333,0.0925,0.2929,0.1349
checkpoint-1716,1536,1716,0.0317,0.0979,0.2979,0.1380
checkpoint-1794,1536,1794,0.0300,0.0988,0.3117,0.1420
checkpoint-1855,1536,1855,0.0200,0.1013,0.3054,0.1381
checkpoint-234,1536,234,0.0333,0.0946,0.2725,0.1296
checkpoint-312,1536,312,0.0433,0.1050,0.3038,0.1461
checkpoint-390,1536,390,0.0200,0.0875,0.2687,0.1216
checkpoint-468,1536,468,0.0467,0.1092,0.2983,0.1472
checkpoint-546,1536,546,0.0300,0.0979,0.3000,0.1382
checkpoint-624,1536,624,0.0183,0.1129,0.3067,0.1427
checkpoint-702,1536,702,0.0250,0.1087,0.3175,0.1463
checkpoint-78,1536,78,0.0450,0.1100,0.2771,0.1406
checkpoint-780,1536,780,0.0350,0.1158,0.3092,0.1496
checkpoint-785,1536,785,0.0300,0.1033,0.3088,0.1430
checkpoint-858,1536,858,0.0317,0.0971,0.2979,0.1377
checkpoint-936,1536,936,0.0300,0.1050,0.3208,0.1473
